,Entity,Code,Year,Continent,Entity3,Year3,world-regions-according-to-the-united-nations,Entity2,Year2,WHO region,Entity1,Year1,World Region according to the World Bank
61,Cuba,CUB,2015.0,North America,Cuba,2021.0,Latin America and Caribbean,Cuba,2020.0,Americas,Cuba,2017.0,Latin America and Caribbean
62,Curacao,CUW,2015.0,North America,Curacao,2021.0,Latin America and Caribbean,,,,Curacao,2017.0,Latin America and Caribbean
63,Cyprus,CYP,2015.0,Europe,Cyprus,2021.0,Northern Africa and Western Asia,Cyprus,2020.0,Europe,Cyprus,2017.0,Europe and Central Asia
64,Czechia,CZE,2015.0,Europe,Czechia,2021.0,Europe and Northern America,Czechia,2020.0,Europe,Czechia,2017.0,Europe and Central Asia
65,Czechoslovakia,OWID_CZS,2015.0,Europe,,,,,,,,,
66,Democratic Republic of Congo,COD,2015.0,Africa,Democratic Republic of Congo,2021.0,Sub-Saharan Africa,Democratic Republic of Congo,2020.0,Africa,Democratic Republic of Congo,2017.0,Sub-Saharan Africa
67,Denmark,DNK,2015.0,Europe,Denmark,2021.0,Europe and Northern America,Denmark,2020.0,Europe,Denmark,2017.0,Europe and Central Asia
68,Djibouti,DJI,2015.0,Africa,Djibouti,2021.0,Middle East and North Africa,Djibouti,2020.0,Eastern Mediterranean,Djibouti,2017.0,Middle East and North Africa
69,Dominica,DMA,2015.0,North America,Dominica,2021.0,Latin America and Caribbean,Dominica,2020.0,Americas,Dominica,2017.0,Latin America and Caribbean
70,Dominican Republic,DOM,2015.0,North America,Dominican Republic,2021.0,Latin America and Caribbean,Dominican Republic,2020.0,Americas,Dominican Republic,2017.0,Latin America and Caribbean
71,East Germany,OWID_GDR,2015.0,Europe,,,,,,,,,
72,Ecuador,ECU,2015.0,South America,Ecuador,2021.0,Latin America and Caribbean,Ecuador,2020.0,Americas,Ecuador,2017.0,Latin America and Caribbean
73,Egypt,EGY,2015.0,Africa,Egypt,2021.0,Northern Africa and Western Asia,Egypt,2020.0,Eastern Mediterranean,Egypt,2017.0,Middle East and North Africa
74,El Salvador,SLV,2015.0,North America,El Salvador,2021.0,Latin America and Caribbean,El Salvador,2020.0,Americas,El Salvador,2017.0,Latin America and Caribbean
75,Equatorial Guinea,GNQ,2015.0,Africa,Equatorial Guinea,2021.0,Sub-Saharan Africa,Equatorial Guinea,2020.0,Africa,Equatorial Guinea,2017.0,Sub-Saharan Africa
76,Eritrea,ERI,2015.0,Africa,Eritrea,2021.0,Sub-Saharan Africa,Eritrea,2020.0,Africa,Eritrea,2017.0,Sub-Saharan Africa
