,Year,MSN,USA,US,d_USA
282,1960,PMTCB,19873652.0,19873652.0,0.0
283,1960,PPICB,0.0,0.0,0.0
284,1960,PPICP,0.0,0.0,0.0
285,1960,PPTCB,0.0,0.0,0.0
286,1960,PPTCP,0.0,0.0,0.0
287,1960,REPRB,2928203.0,2928205.0,-2.0
288,1960,RETCB,2928203.0,2928205.0,-2.0
289,1960,RFACB,843878.0,843881.0,-3.0
290,1960,RFACP,134223.0,134226.0,-3.0
291,1960,RFCCB,558517.0,558519.0,-2.0
292,1960,RFCCP,88836.0,88837.0,-1.0
293,1960,RFEIB,530442.0,530442.0,0.0
294,1960,RFEIP,84369.0,84371.0,-2.0
295,1960,RFICB,1584350.0,1584351.0,-1.0
296,1960,RFICP,252005.0,252004.0,1.0
297,1960,RFTCB,3517196.0,3517193.0,3.0
298,1960,RFTCP,559441.0,559439.0,2.0
299,1960,RFTXB,2986755.0,2986751.0,4.0
300,1960,RFTXP,475067.0,475068.0,-1.0
301,1960,SGICB,776883.0,776880.0,3.0
302,1960,SGICP,129477.0,129480.0,-3.0
303,1960,SNICB,0.0,0.0,0.0
304,1960,SNICP,0.0,0.0,0.0
305,1960,SOCCB,0.0,0.0,0.0
306,1960,SOCCP,0.0,0.0,0.0
307,1960,SOEGB,0.0,0.0,0.0
308,1960,SOEGP,0.0,0.0,0.0
309,1960,SOICB,0.0,0.0,0.0
310,1960,SOICP,0.0,0.0,0.0
311,1960,SORCB,0.0,0.0,0.0
312,1960,SOTCB,0.0,0.0,0.0
313,1960,SOTGP,0.0,0.0,0.0
314,1960,SOTXB,0.0,0.0,0.0
315,1960,TEACB,10596615.0,10596612.0,3.0
316,1960,TEAPB,3356.8,58.7,3298.1000000000004
317,1960,TECCB,4604662.0,4604662.0,0.0
318,1960,TECPB,1310.6000000000001,25.5,1285.1000000000001
319,1960,TEEIB,8156974.0,8156973.0,1.0
320,1960,TEICB,20804773.0,20799142.0,5631.0
321,1960,TEIPB,5660.3,115.1,5545.2
322,1960,TEPRB,42590503.0,42590504.0,-1.0
323,1960,TERCB,9033189.0,9033190.0,-1.0
324,1960,TERPB,2566.7999999999997,50.0,2516.7999999999997
325,1960,TETCB,45039235.0,45033606.0,5629.0
326,1960,TETPB,12893.900000000001,249.3,12644.600000000002
327,1960,TETXB,45039235.0,45033606.0,5629.0
328,1960,TNACB,10570749.0,10570746.0,3.0
329,1960,TNCCB,3260914.0,3260915.0,-1.0
330,1960,TNICB,18066526.0,18060898.0,5628.0
331,1960,TNRCB,7331788.0,7331785.0,3.0
332,1960,TNTXB,39229977.0,39224344.0,5633.0
333,1960,TPOPP,179972.0,180671.0,-699.0
334,1960,UOICB,0.0,0.0,0.0
335,1960,UOICP,0.0,0.0,0.0
336,1960,USICB,0.0,0.0,0.0
337,1960,USICP,0.0,0.0,0.0
338,1960,WDCCB,11871.0,11868.0,3.0
339,1960,WDEIB,0.0,0.0,0.0
340,1960,WDEXB,0.0,0.0,0.0
341,1960,WDICB,679865.0,679864.0,1.0
342,1960,WDPRB,1318361.0,1318363.0,-2.0
343,1960,WDRCB,626628.0,626630.0,-2.0
344,1960,WDTCB,1318361.0,1318363.0,-2.0
345,1960,WSCCB,0.0,0.0,0.0
346,1960,WSEIB,1509.0,1508.0,1.0
347,1960,WSICB,0.0,0.0,0.0
348,1960,WSTCB,1509.0,1508.0,1.0
349,1960,WWCCB,11871.0,11868.0,3.0
350,1960,WWEIB,1509.0,1508.0,1.0
351,1960,WWICB,679865.0,679864.0,1.0
352,1960,WWPRB,1319871.0,1319871.0,0.0
353,1960,WWTCB,1319871.0,1319871.0,0.0
354,1960,WWTXB,1318361.0,1318363.0,-2.0
355,1960,WXICB,24576.0,24573.0,3.0
356,1960,WXICP,4438.0,4438.0,0.0
357,1960,WYCCB,0.0,0.0,0.0
358,1960,WYCCP,0.0,0.0,0.0
359,1960,WYEGB,0.0,0.0,0.0
360,1960,WYEGP,0.0,0.0,0.0
361,1960,WYICB,0.0,0.0,0.0
362,1960,WYICP,0.0,0.0,0.0
363,1960,WYTCB,0.0,0.0,0.0
364,1960,WYTCP,0.0,0.0,0.0
365,1960,WYTXB,0.0,0.0,0.0
366,1960,WYTXP,0.0,0.0,0.0
369,1961,ARICB,753552.0,753551.0,1.0
370,1961,ARICP,113552.0,113555.0,-3.0
371,1961,ARTCB,753552.0,753551.0,1.0
372,1961,ARTCP,113552.0,113555.0,-3.0
373,1961,ARTXB,753552.0,753551.0,1.0
374,1961,ARTXP,113552.0,113555.0,-3.0
375,1961,AVACB,290398.0,290396.0,2.0
376,1961,AVACP,57531.0,57527.0,4.0
377,1961,AVTCB,290398.0,290396.0,2.0
378,1961,AVTCP,57531.0,57527.0,4.0
379,1961,AVTXB,290398.0,290396.0,2.0
380,1961,AVTXP,57531.0,57527.0,4.0
392,1961,BMTCB,1294757.0,1294762.0,-5.0
393,1961,CCEXB,0.0,11036.0,-11036.0
394,1961,CCEXP,0.0,445.0,-445.0
395,1961,CCIMB,0.0,3150.0,-3150.0
396,1961,CCIMP,0.0,127.0,-127.0
397,1961,CCNIB,0.0,-7886.0,7886.0
398,1961,CCNIP,0.0,-318.0,318.0
400,1961,CLACK,1201.3439999999998,24.569,1176.7749999999999
401,1961,CLACP,768.0,770.0,-2.0
402,1961,CLCCB,366138.0,366139.0,-1.0
403,1961,CLCCP,15291.0,15293.0,-2.0
404,1961,CLEIB,4355063.0,4355064.0,-1.0
405,1961,CLEIK,957.593,23.905,933.688
406,1961,CLEIP,182187.0,182185.0,2.0
407,1961,CLHCK,1049.95,23.942,1026.008
408,1961,CLICB,4350832.0,4350831.0,1.0
409,1961,CLICP,170098.0,170098.0,0.0
410,1961,CLKCB,1987970.0,1987969.0,1.0
411,1961,CLKCK,562.2719999999999,26.792,535.4799999999999
413,1961,CLOCB,2362865.0,2362862.0,3.0
414,1961,CLOCK,1150.6889999999999,24.64,1126.0489999999998
415,1961,CLOCP,95895.0,95897.0,-2.0
417,1961,CLPRK,549.736,24.233,525.503
420,1961,CLRCP,22006.0,22006.0,0.0
422,1961,CLTCP,390353.0,390352.0,1.0
423,1961,CLTXB,5262947.0,5262949.0,-2.0
424,1961,CLTXP,208165.0,208167.0,-2.0
427,1961,COPRK,185.60000000000002,5.8,179.8
428,1961,DFACB,891643.0,891644.0,-1.0
429,1961,DFACP,153071.0,153072.0,-1.0
430,1961,DFCCB,504336.0,504339.0,-3.0
431,1961,DFCCP,86584.0,86582.0,2.0
432,1961,DFEIB,21598.0,21599.0,-1.0
434,1961,DFICB,1017510.0,1017509.0,1.0
435,1961,DFICP,174679.0,174680.0,-1.0
436,1961,DFRCB,1609533.0,1609532.0,1.0
438,1961,DFTCB,4044622.0,4044624.0,-2.0
440,1961,DFTCP,694356.0,694356.0,0.0
441,1961,DFTXB,4023027.0,4023024.0,3.0
442,1961,DFTXP,690645.0,690648.0,-3.0
443,1961,DKEIB,21598.0,21599.0,-1.0
445,1961,DMTCB,4044622.0,4044624.0,-2.0
446,1961,ELEXB,3128.0,3127.0,1.0
447,1961,ELEXP,917.0,917.0,0.0
449,1961,ELIMP,3170.0,3170.0,0.0
450,1961,ELISB,-1.0,0.0,-1.0
451,1961,ELNIB,7687.0,7689.0,-2.0
465,1961,ESACB,10313.0,10315.0,-2.0
466,1961,ESACP,3023.0,3023.0,0.0
467,1961,ESCCB,572045.0,572043.0,2.0
468,1961,ESCCP,167658.0,167656.0,2.0
469,1961,ESICB,1149249.0,1149250.0,-1.0
470,1961,ESICP,336828.0,336826.0,2.0
471,1961,ESRCB,731688.0,731686.0,2.0
472,1961,ESRCP,214448.0,214445.0,3.0
473,1961,ESRPP,63987.0,1167.0,62820.0
474,1961,ESTCB,2463296.0,2463294.0,2.0
475,1961,ESTCP,721944.0,721950.0,-6.0
476,1961,ESTPP,206398.0,3930.0,202468.0
477,1961,ESTXB,2463296.0,2463294.0,2.0
478,1961,ESTXP,721944.0,721950.0,-6.0
479,1961,FFETK,0.0,10.65,-10.65
480,1961,FFTCB,42712446.0,42704559.0,7887.0
494,1961,HLACB,20770.0,20771.0,-1.0
495,1961,HLACP,5407.0,5408.0,-1.0
496,1961,HLCCB,82973.0,82977.0,-4.0
497,1961,HLCCP,21602.0,21603.0,-1.0
500,1961,HLICP,125685.0,125686.0,-1.0
502,1961,HLRCP,81215.0,81212.0,3.0
503,1961,HLTCB,891190.0,891189.0,1.0
504,1961,HLTCK,194.98299999999998,3.81,191.17299999999997
506,1961,HLTXB,891190.0,891189.0,1.0
510,1961,HYEGB,1620629.0,1620627.0,2.0
511,1961,HYEGP,152171.0,152172.0,-1.0
512,1961,HYICB,35838.0,35836.0,2.0
513,1961,HYICP,3366.0,3365.0,1.0
514,1961,HYTCB,1656466.0,1656464.0,2.0
515,1961,HYTCP,155538.0,155536.0,2.0
516,1961,HYTXB,35838.0,35836.0,2.0
517,1961,HYTXP,3366.0,3365.0,1.0
518,1961,JFACB,826804.0,826805.0,-1.0
519,1961,JFACP,151620.0,151623.0,-3.0
520,1961,JFTCB,826804.0,826805.0,-1.0
521,1961,JFTCP,151620.0,151623.0,-3.0
