,StateCode,Year,MSN,Data
294,IL,2014,Solar,1892.0
295,IL,2015,Solar,1938.0
296,IL,2016,Solar,2033.0
297,IL,2017,Solar,2285.0
298,IL,2018,Solar,2739.0
299,IL,2019,Solar,3504.0
300,IN,2000,Solar,33.0
301,IN,2001,Solar,35.0
302,IN,2002,Solar,38.0
303,IN,2003,Solar,37.0
304,IN,2004,Solar,63.0
305,IN,2005,Solar,78.0
306,IN,2006,Solar,91.0
307,IN,2007,Solar,100.0
308,IN,2008,Solar,102.0
309,IN,2009,Solar,128.0
310,IN,2010,Solar,134.0
311,IN,2011,Solar,168.0
312,IN,2012,Solar,185.0
313,IN,2013,Solar,488.0
314,IN,2014,Solar,1205.0
315,IN,2015,Solar,1714.0
316,IN,2016,Solar,2391.0
317,IN,2017,Solar,3032.0
318,IN,2018,Solar,3693.0
319,IN,2019,Solar,4160.0
320,KS,2000,Solar,29.0
321,KS,2001,Solar,25.0
322,KS,2002,Solar,22.0
323,KS,2003,Solar,18.0
324,KS,2004,Solar,15.0
325,KS,2005,Solar,17.0
326,KS,2006,Solar,21.0
327,KS,2007,Solar,24.0
328,KS,2008,Solar,23.0
329,KS,2009,Solar,24.0
330,KS,2010,Solar,28.0
331,KS,2011,Solar,29.0
332,KS,2012,Solar,39.0
333,KS,2013,Solar,54.0
334,KS,2014,Solar,56.0
335,KS,2015,Solar,87.0
336,KS,2016,Solar,125.0
337,KS,2017,Solar,231.0
338,KS,2018,Solar,345.0
339,KS,2019,Solar,471.0
340,KY,2000,Solar,4.0
341,KY,2001,Solar,4.0
342,KY,2002,Solar,4.0
343,KY,2003,Solar,4.0
344,KY,2004,Solar,30.0
345,KY,2005,Solar,35.0
346,KY,2006,Solar,39.0
347,KY,2007,Solar,41.0
348,KY,2008,Solar,48.0
349,KY,2009,Solar,60.0
350,KY,2010,Solar,67.0
351,KY,2011,Solar,86.0
352,KY,2012,Solar,93.0
353,KY,2013,Solar,184.0
354,KY,2014,Solar,188.0
355,KY,2015,Solar,198.0
356,KY,2016,Solar,366.0
357,KY,2017,Solar,481.0
358,KY,2018,Solar,719.0
359,KY,2019,Solar,827.0
360,LA,2000,Solar,60.0
361,LA,2001,Solar,57.0
362,LA,2002,Solar,56.0
363,LA,2003,Solar,60.0
364,LA,2004,Solar,65.0
365,LA,2005,Solar,65.0
366,LA,2006,Solar,67.0
367,LA,2007,Solar,77.0
368,LA,2008,Solar,79.0
369,LA,2009,Solar,83.0
370,LA,2010,Solar,113.0
371,LA,2011,Solar,165.0
372,LA,2012,Solar,319.0
373,LA,2013,Solar,669.0
374,LA,2014,Solar,1075.0
375,LA,2015,Solar,1521.0
376,LA,2016,Solar,1851.0
377,LA,2017,Solar,1958.0
378,LA,2018,Solar,2189.0
379,LA,2019,Solar,2251.0
380,MA,2000,Solar,187.0
381,MA,2001,Solar,170.0
382,MA,2002,Solar,167.0
383,MA,2003,Solar,163.0
384,MA,2004,Solar,190.0
385,MA,2005,Solar,206.0
386,MA,2006,Solar,226.0
387,MA,2007,Solar,270.0
388,MA,2008,Solar,337.0
389,MA,2009,Solar,446.0
390,MA,2010,Solar,683.0
391,MA,2011,Solar,1063.0
392,MA,2012,Solar,2526.0
393,MA,2013,Solar,4694.0
394,MA,2014,Solar,9150.0
395,MA,2015,Solar,12535.0
396,MA,2016,Solar,17495.0
397,MA,2017,Solar,21532.0
398,MA,2018,Solar,28177.0
399,MA,2019,Solar,29511.0
400,MD,2000,Solar,44.0
401,MD,2001,Solar,42.0
402,MD,2002,Solar,40.0
403,MD,2003,Solar,38.0
404,MD,2004,Solar,63.0
405,MD,2005,Solar,68.0
406,MD,2006,Solar,74.0
407,MD,2007,Solar,80.0
408,MD,2008,Solar,103.0
409,MD,2009,Solar,136.0
410,MD,2010,Solar,214.0
411,MD,2011,Solar,556.0
412,MD,2012,Solar,1432.0
413,MD,2013,Solar,2224.0
414,MD,2014,Solar,3449.0
415,MD,2015,Solar,4375.0
416,MD,2016,Solar,6834.0
417,MD,2017,Solar,9348.0
418,MD,2018,Solar,11456.0
419,MD,2019,Solar,13115.0
420,ME,2000,Solar,110.0
421,ME,2001,Solar,103.0
422,ME,2002,Solar,96.0
423,ME,2003,Solar,89.0
424,ME,2004,Solar,96.0
425,ME,2005,Solar,97.0
426,ME,2006,Solar,109.0
427,ME,2007,Solar,116.0
428,ME,2008,Solar,127.0
429,ME,2009,Solar,127.0
430,ME,2010,Solar,139.0
431,ME,2011,Solar,141.0
432,ME,2012,Solar,194.0
433,ME,2013,Solar,265.0
434,ME,2014,Solar,271.0
435,ME,2015,Solar,323.0
436,ME,2016,Solar,418.0
437,ME,2017,Solar,577.0
438,ME,2018,Solar,765.0
439,ME,2019,Solar,897.0
440,MI,2000,Solar,229.0
441,MI,2001,Solar,219.0
442,MI,2002,Solar,210.0
443,MI,2003,Solar,199.0
444,MI,2004,Solar,224.0
445,MI,2005,Solar,274.0
446,MI,2006,Solar,335.0
447,MI,2007,Solar,405.0
448,MI,2008,Solar,408.0
449,MI,2009,Solar,432.0
450,MI,2010,Solar,466.0
451,MI,2011,Solar,568.0
452,MI,2012,Solar,752.0
453,MI,2013,Solar,765.0
454,MI,2014,Solar,816.0
455,MI,2015,Solar,853.0
456,MI,2016,Solar,1089.0
457,MI,2017,Solar,1692.0
458,MI,2018,Solar,2304.0
459,MI,2019,Solar,2758.0
460,MN,2000,Solar,288.0
461,MN,2001,Solar,257.0
462,MN,2002,Solar,226.0
463,MN,2003,Solar,203.0
464,MN,2004,Solar,173.0
465,MN,2005,Solar,142.0
466,MN,2006,Solar,147.0
467,MN,2007,Solar,147.0
468,MN,2008,Solar,189.0
469,MN,2009,Solar,203.0
470,MN,2010,Solar,229.0
471,MN,2011,Solar,243.0
472,MN,2012,Solar,299.0
473,MN,2013,Solar,343.0
474,MN,2014,Solar,411.0
475,MN,2015,Solar,473.0
476,MN,2016,Solar,645.0
477,MN,2017,Solar,6247.0
478,MN,2018,Solar,10437.0
479,MN,2019,Solar,12265.0
480,MO,2000,Solar,111.0
481,MO,2001,Solar,94.0
482,MO,2002,Solar,77.0
483,MO,2003,Solar,61.0
484,MO,2004,Solar,46.0
485,MO,2005,Solar,33.0
486,MO,2006,Solar,30.0
487,MO,2007,Solar,34.0
488,MO,2008,Solar,35.0
489,MO,2009,Solar,29.0
490,MO,2010,Solar,35.0
491,MO,2011,Solar,49.0
492,MO,2012,Solar,227.0
493,MO,2013,Solar,518.0
494,MO,2014,Solar,1189.0
495,MO,2015,Solar,1542.0
496,MO,2016,Solar,1876.0
497,MO,2017,Solar,2433.0
498,MO,2018,Solar,2980.0
499,MO,2019,Solar,3534.0
500,MS,2000,Solar,9.0
501,MS,2001,Solar,9.0
502,MS,2002,Solar,9.0
503,MS,2003,Solar,9.0
504,MS,2004,Solar,9.0
505,MS,2005,Solar,9.0
